,index,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Artist,Doctor,Engineer,Entertainment,Executive,Healthcare,Homemaker,Lawyer,Marketing,None,Profession,Gender_str,Married,cluster
34,34,0,0,83,1,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
35,35,0,1,27,0,3.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
36,36,1,1,32,1,5.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,No,1
37,37,0,0,28,1,1.0,2,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,Yes,1
38,38,0,0,28,0,8.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
39,39,1,0,56,0,2.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
40,40,0,1,47,0,4.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
41,41,0,1,22,1,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
42,42,0,1,27,0,14.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
43,43,0,0,49,0,1.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
44,44,1,0,40,1,8.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Male,Yes,0
45,45,0,0,79,1,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
46,46,1,0,41,0,0.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
47,47,0,1,29,0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
48,48,1,1,19,1,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
49,49,0,1,45,0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,No,0
50,50,0,0,61,1,1.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
51,51,0,0,36,0,1.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
52,52,1,0,40,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
53,53,0,0,57,0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Female,Yes,2
54,54,1,0,76,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Male,Yes,1
55,55,1,0,32,0,14.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
56,56,1,1,25,0,9.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
57,57,1,1,32,1,8.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,No,1
58,58,0,0,45,0,1.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
59,59,1,0,72,0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
60,60,1,0,48,0,0.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
61,61,1,0,55,0,9.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
62,62,1,0,74,0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
63,63,1,0,56,0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
64,64,1,0,59,0,7.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
65,65,1,1,25,0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,No,2
66,66,1,0,31,0,0.0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,Yes,3
67,67,1,1,27,1,8.0,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,No,1
68,68,1,0,57,0,0.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
69,69,0,0,39,0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Homemaker,Female,Yes,3
70,70,1,0,27,0,8.0,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,Yes,1
71,71,0,0,51,0,8.0,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Female,Yes,2
72,72,0,0,47,1,0.0,2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
73,73,0,1,33,1,8.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
74,74,1,0,56,0,0.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
75,75,0,1,33,1,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Homemaker,Female,No,1
76,76,0,1,36,0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Female,No,1
77,77,1,0,51,1,4.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
78,78,1,0,45,0,2.0,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Male,Yes,0
79,79,0,1,49,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,Female,No,3
80,80,1,1,30,1,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
81,81,0,1,26,1,6.0,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
82,82,1,0,63,0,8.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
83,83,1,0,35,1,8.0,2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,Yes,2
84,84,0,1,19,1,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Female,No,1
85,85,1,1,32,1,7.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
86,86,1,0,52,0,0.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
87,87,0,0,36,0,5.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
88,88,0,1,42,1,7.0,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Female,No,2
89,89,1,0,40,1,0.0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,Yes,1
90,90,1,1,39,0,0.0,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,No,2
91,91,0,0,47,0,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
92,92,0,0,61,0,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
93,93,1,0,32,1,1.0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,Yes,2
94,94,1,0,55,1,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
95,95,1,0,58,0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
96,96,0,1,38,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
97,97,1,0,63,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
98,98,1,0,58,0,1.0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,Yes,3
99,99,1,0,30,1,3.0,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Male,Yes,0
100,100,1,0,60,0,0.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
101,101,1,0,68,1,1.0,3,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
102,102,1,0,52,1,0.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
103,103,1,0,38,1,0.0,3,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
104,104,0,0,35,0,10.0,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,Yes,1
105,105,1,1,18,1,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,No,1
106,106,1,0,30,0,3.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Homemaker,Male,Yes,3
107,107,1,1,86,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,No,4
108,108,0,1,19,1,6.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
109,109,1,1,25,1,9.0,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
110,110,1,0,59,0,2.0,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,Yes,2
111,111,0,1,39,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
112,112,0,0,50,0,1.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Female,Yes,3
113,113,1,1,47,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,No,3
114,114,1,0,43,0,0.0,3,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
115,115,1,0,36,1,8.0,2,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
116,116,1,0,80,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
117,117,1,1,36,0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,No,3
118,118,1,1,27,1,2.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,Male,No,1
119,119,0,0,37,0,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
120,120,1,0,46,0,0.0,3,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
121,121,1,0,55,1,1.0,3,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
122,122,0,0,47,1,9.0,2,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
123,123,0,1,28,0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
124,124,1,0,39,1,9.0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,Yes,2
125,125,0,0,27,1,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Female,Yes,1
126,126,0,0,42,1,0.0,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
127,127,1,0,72,0,0.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
128,128,0,0,28,0,0.0,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
129,129,1,1,35,0,8.0,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,No,2
130,130,1,0,39,0,9.0,3,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
131,131,0,0,69,0,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
132,132,1,1,18,1,6.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Male,No,1
133,133,1,0,46,0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
134,134,0,0,50,0,1.0,3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
135,135,1,1,30,1,5.0,1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,No,1
136,136,0,1,41,1,2.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
137,137,0,1,39,0,3.0,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
138,138,0,1,29,1,8.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Female,No,1
139,139,0,0,37,0,4.0,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
140,140,0,0,39,0,0.0,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
141,141,0,0,48,0,0.0,2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
142,142,0,1,32,0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Female,No,1
143,143,1,0,78,1,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
144,144,0,0,43,1,0.0,2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
145,145,1,1,29,1,8.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Male,No,1
146,146,0,0,28,1,9.0,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
147,147,1,0,80,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
148,148,0,1,28,0,7.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
149,149,1,0,71,0,6.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
150,150,1,0,67,1,0.0,3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Male,Yes,4
151,151,0,1,26,1,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,No,0
152,152,0,0,47,0,0.0,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,Yes,0
153,153,0,0,43,0,2.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
154,154,0,1,27,0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
155,155,0,0,45,0,8.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Marketing,Female,Yes,1
156,156,1,0,76,1,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
157,157,0,0,43,0,3.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
158,158,0,0,78,0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
159,159,1,0,35,0,3.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
160,160,0,1,49,0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
161,161,0,1,25,0,1.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
162,162,1,0,37,1,0.0,2,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
163,163,0,1,32,1,1.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
164,164,1,0,60,0,0.0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doctor,Male,Yes,3
165,165,0,0,45,0,5.0,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
166,166,0,0,49,0,9.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Homemaker,Female,Yes,3
167,167,1,1,32,0,0.0,1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,No,3
168,168,0,0,40,0,0.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
169,169,1,0,59,1,2.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
170,170,1,0,48,0,3.0,1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
171,171,1,0,82,0,0.0,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Executive,Male,Yes,4
172,172,0,0,70,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
173,173,1,1,31,0,5.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,No,3
174,174,0,0,72,0,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lawyer,Female,Yes,4
175,175,1,0,50,0,3.0,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Male,Yes,3
176,176,0,1,23,1,11.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,No,0
177,177,0,1,20,1,2.0,1,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
178,178,0,1,22,1,4.0,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Healthcare,Female,No,1
179,179,0,1,31,0,8.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Engineer,Female,No,0
180,180,0,0,36,0,7.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,Yes,3
181,181,1,0,52,1,2.0,2,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entertainment,Male,Yes,2
182,182,0,1,29,0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artist,Female,No,3
